Наименование объявления,Город,Район,Количество станций метро рядом,Самый длогий путь до метро,Самый короткий путь до метро,Расттояние до центра,Площадь квартиры,Цена квартиры
"Продажа 1-комнатной квартиры 38,6 м², 16/33 этаж",Москва,ЮВАО,3,25,15,9.9,38.6,9962724
"Продажа 1-комнатной квартиры 41,2 м², 16/21 этаж",Москва,ВАО,3,24,19,4.9,41.2,9629676
"Продажа 1-комнатной квартиры 36,3 м², 6/13 этаж",Москва,САО,3,21,7,6.7,36.3,14520000
"Продажа 4-комнатной квартиры 80,6 м², 3/21 этаж",Москва,ЗАО,3,28,9,12.2,80.6,23204693
"Продажа квартиры-студии 27 м², 8/16 этаж",Москва,ЮВАО,3,29,17,13.3,27.0,9000000
"Продажа 1-комнатной квартиры 32,6 м², 33/38 этаж",Москва,ЮВАО,3,26,9,5.0,32.6,11009932
"Продажа 1-комнатной квартиры 37,3 м², 15/23 этаж",Москва,ЮВАО,3,30,20,7.1,37.3,10290697
"Продажа 1-комнатной квартиры 35,8 м², 16/22 этаж",Москва,Новая Москва,3,32,23,18.6,35.8,9940000
"Продажа 1-комнатной квартиры 38,5 м², 11/25 этаж",Москва,ВАО,3,34,25,10.7,38.5,13428800
"Продажа 2-комнатной квартиры 61,1 м², 23/36 этаж",Москва,САО,3,21,10,6.7,61.1,30000796
"Продажа 2-комнатной квартиры 50,3 м², 40/41 этаж",Москва,ЗАО,3,29,13,11.8,50.3,20961303
"Продажа 1-комнатной квартиры 38 м², 19/24 этаж",Москва,СЗАО,3,43,24,19.4,38.0,9200000
"Продажа 1-комнатной квартиры 36,1 м², 6/17 этаж",Москва,ВАО,3,19,12,10.5,36.1,10168070
"Продажа 1-комнатной квартиры 31,9 м², 2/9 этаж",Москва,СВАО,3,28,21,13.1,31.9,8200000
"Продажа 1-комнатной квартиры 39,8 м², 3/14 этаж",Москва,Новая Москва,3,75,64,,39.8,8927777
"Продажа 1-комнатной квартиры 43 м², 19/49 этаж",Москва,САО,3,21,10,6.7,43.0,19183610
"Продажа квартиры-студии 21,2 м², 3/9 этаж",Москва,Новая Москва,3,62,52,29.6,21.2,4524070
"Продажа 3-комнатной квартиры 120 м², 17/17 этаж",Москва,ЮАО,3,27,9,7.3,120.0,47999999
"Продажа 2-комнатной квартиры 45,2 м², 3/5 этаж",Москва,ЗАО,3,12,7,5.0,45.2,23300000
"Продажа 3-комнатной квартиры 74,7 м², 6/9 этаж",Москва,ЗАО,3,28,9,12.1,74.7,22603174
"Продажа 2-комнатной квартиры 36,8 м², 6/9 этаж",Москва,ЮЗАО,3,21,16,9.9,36.8,11700000
"Продажа 1-комнатной квартиры 36,2 м², 26/33 этаж",Москва,ЗАО,3,20,13,13.4,36.2,14403256
"Продажа 2-комнатной квартиры 54,7 м², 24/33 этаж",Москва,СВАО,3,25,22,13.6,54.7,12228732
"Продажа 1-комнатной квартиры 42,4 м², 19/33 этаж",Москва,ВАО,3,19,12,10.5,42.4,11193600
"Продажа 2-комнатной квартиры 58 м², 2/15 этаж",Москва,ЮЗАО,3,26,15,22.7,58.0,14000000
"Продажа 1-комнатной квартиры 32,6 м², 1/9 этаж",Москва,СВАО,3,24,6,14.9,32.6,10200000
"Продажа 2-комнатной квартиры 42 м², 3/5 этаж",Москва,ЦАО,3,11,8,0.0,42.0,36000000
"Продажа квартиры-студии 22 м², 11/17 этаж",Москва,ЮЗАО,3,25,22,26.3,22.0,4958976
"Продажа 2-комнатной квартиры 83,4 м², 4/6 этаж",Москва,ЦАО,3,11,7,0.0,83.4,141780000
"Продажа 1-комнатной квартиры 43,4 м², 9/17 этаж",Москва,ЮАО,3,37,29,7.4,43.4,17581517
"Продажа 1-комнатной квартиры 36,1 м², 13/17 этаж",Москва,Новая Москва,3,29,25,23.5,36.1,9140192
"Продажа 1-комнатной квартиры 57 м², 5/24 этаж",Москва,ЮАО,3,27,10,7.5,57.0,26116581
"Продажа 2-комнатной квартиры 59,1 м², 5/22 этаж",Москва,ЗАО,3,27,22,9.0,59.1,15400000
"Продажа 2-комнатной квартиры 55,8 м², 10/19 этаж",Москва,СЗАО,3,27,9,10.3,55.8,32938740
"Продажа 1-комнатной квартиры 37,9 м², 11/14 этаж",Москва,СВАО,3,32,23,14.9,37.9,8750000
"Продажа 3-комнатной квартиры 73 м², 4/5 этаж",Москва,ЮВАО,3,27,14,10.1,73.0,21800000
"Продажа 2-комнатной квартиры 61,6 м², 2/17 этаж",Москва,Новая Москва,3,33,30,23.3,61.6,15700000
"Продажа 1-комнатной квартиры 32,3 м², 2/5 этаж",Москва,ЗАО,3,14,8,14.0,32.3,8000000
"Продажа 3-комнатной квартиры 72,2 м², 27/38 этаж",Москва,ЮВАО,3,26,9,5.0,72.2,19351910
"Продажа 1-комнатной квартиры 33 м², 1/7 этаж",Москва,ЮВАО,3,17,6,6.4,33.0,6000000
"Продажа 1-комнатной квартиры 32,6 м², 9/9 этаж",Москва,ЮВАО,3,29,11,14.0,32.6,9150000
"Продажа 3-комнатной квартиры 84,9 м², 4/8 этаж",Москва,СВАО,3,25,6,8.0,84.9,26800000
"Продажа 2-комнатной квартиры 60 м², 20/20 этаж",Москва,Новая Москва,3,25,14,22.9,60.0,19999000
"Продажа 1-комнатной квартиры 32,8 м², 10/21 этаж",Москва,Новая Москва,3,37,28,21.4,32.8,8331200
"Продажа 2-комнатной квартиры 46,3 м², 4/25 этаж",Москва,ЮЗАО,3,21,15,11.2,46.3,20961777
"Продажа 1-комнатной квартиры 48,4 м², 16/28 этаж",Москва,ЮАО,3,37,29,7.4,48.4,19807451
"Продажа квартиры-студии 25,7 м², 6/14 этаж",Москва,Новая Москва,3,75,64,,25.7,7119414
"Продажа 2-комнатной квартиры 48,5 м², 2/33 этаж",Москва,ВАО,3,41,38,11.1,48.5,11513900
"Продажа 3-комнатной квартиры 90,2 м², 1/9 этаж",Москва,Новая Москва,3,60,55,3.0,90.2,9184535
"Продажа 2-комнатной квартиры 39,8 м², 4/9 этаж",Москва,Новая Москва,3,27,19,17.7,39.8,10899000
"Продажа 2-комнатной квартиры 54,2 м², 10/12 этаж",Москва,ЮВАО,3,18,4,13.3,54.2,16200000
"Продажа квартиры-студии 28,3 м², 9/25 этаж",Москва,ВАО,3,34,25,10.7,28.3,9290890
"Продажа квартиры-студии 38,8 м², 1/4 этаж",Москва,ЮАО,3,24,12,4.9,38.8,11185223
"Продажа квартиры-студии 24,1 м², 3/4 этаж",Москва,САО,3,24,5,7.6,24.1,9120000
"Продажа 1-комнатной квартиры 33 м², 1/9 этаж",Москва,ВАО,3,28,23,8.4,33.0,8400000
"Продажа 2-комнатной квартиры 44 м², 3/19 этаж",Москва,Новая Москва,3,27,12,24.3,44.0,9400000
"Продажа 1-комнатной квартиры 44,4 м², 17/28 этаж",Москва,ЗАО,3,32,28,6.8,44.4,15000000
"Продажа квартиры-студии 21,8 м², 2/25 этаж",Москва,СВАО,3,27,11,12.0,21.8,7043710
"Продажа 1-комнатной квартиры 34 м², 14/33 этаж",Москва,СВАО,3,28,19,10.8,34.0,9279552
"Продажа 2-комнатной квартиры 53,5 м², 7/14 этаж",Москва,ЮАО,3,26,20,8.9,53.5,13343542
"Продажа 2-комнатной квартиры 56,3 м², 28/33 этаж",Москва,СВАО,3,25,22,13.6,56.3,12664122
"Продажа 1-комнатной квартиры 43 м², 3/29 этаж",Москва,ЮАО,3,24,19,4.4,43.0,15500000
"Продажа 2-комнатной квартиры 43,5 м², 23/28 этаж",Москва,СВАО,3,18,14,7.5,43.5,21550000
"Продажа многокомнатной квартиры 132,7 м², 16/52 этаж",Москва,ЗАО,3,21,14,10.7,132.7,62900000
"Продажа 3-комнатной квартиры 98,2 м², 10/15 этаж",Москва,САО,3,20,11,5.1,98.2,40000000
"Продажа 1-комнатной квартиры 33,6 м², 15/15 этаж",Москва,СВАО,3,25,19,14.4,33.6,10825920
"Продажа 3-комнатной квартиры 84 м², 10/15 этаж",Москва,САО,3,47,39,24.9,84.0,18677400
"Продажа 2-комнатной квартиры 54,2 м², 7/29 этаж",Москва,ЮЗАО,3,17,14,11.2,54.2,16005260
"Продажа 2-комнатной квартиры 51 м², 4/16 этаж",Москва,СВАО,3,18,12,11.3,51.0,14000000
"Продажа 1-комнатной квартиры 49,7 м², 15/17 этаж",Москва,Новая Москва,3,20,7,16.3,49.7,15000000
"Продажа 2-комнатной квартиры 83,3 м², 8/23 этаж",Москва,ЮЗАО,3,25,3,13.8,83.3,30000000
"Продажа 2-комнатной квартиры 45,7 м², 8/12 этаж",Москва,ЦАО,3,17,10,0.0,45.7,33000000
"Продажа 1-комнатной квартиры 39,5 м², 10/30 этаж",Москва,САО,3,14,3,6.8,39.5,15500000
"Продажа 2-комнатной квартиры 66,2 м², 17/23 этаж",Москва,ЮАО,3,26,5,19.1,66.2,17990000
"Продажа 2-комнатной квартиры 51,2 м², 9/17 этаж",Москва,Новая Москва,3,25,15,20.8,51.2,13400000
"Продажа 1-комнатной квартиры 40,2 м², 20/20 этаж",Москва,Новая Москва,3,37,31,23.6,40.2,8880300
"Продажа 1-комнатной квартиры 39,9 м², 13/17 этаж",Москва,ЮАО,3,37,29,7.1,39.9,17033294
"Продажа 1-комнатной квартиры 46,8 м², 2/27 этаж",Москва,ЮВАО,3,26,17,4.3,46.8,20325240
"Продажа многокомнатной квартиры 137,8 м², 25/32 этаж",Москва,СЗАО,3,29,20,6.7,137.8,66193862
"Продажа 1-комнатной квартиры 37 м², 7/12 этаж",Москва,САО,3,19,6,14.5,37.0,11700000
"Продажа 2-комнатной квартиры 37,7 м², 6/9 этаж",Москва,ЦАО,3,18,16,4.3,37.7,11400000
"Продажа 2-комнатной квартиры 71 м², 6/10 этаж",Москва,ЮАО,3,24,17,3.7,71.0,24000000
"Продажа 1-комнатной квартиры 47,9 м², 2/36 этаж",Москва,СВАО,3,24,15,10.3,47.9,12549800
"Продажа 1-комнатной квартиры 34,2 м², 7/14 этаж",Москва,САО,3,47,39,25.0,34.2,9122098
"Продажа 1-комнатной квартиры 41,8 м², 11/22 этаж",Москва,ВАО,3,17,9,12.7,41.8,10610000
"Продажа 2-комнатной квартиры 50,5 м², 5/12 этаж",Москва,ЮАО,3,17,8,10.8,50.5,13500000
"Продажа 1-комнатной квартиры 34 м², 2/9 этаж",Москва,ЮЗАО,3,15,8,14.4,34.0,12990000
"Продажа 2-комнатной квартиры 46,2 м², 15/29 этаж",Москва,ЮЗАО,3,17,14,11.2,46.2,15167460
"Продажа 1-комнатной квартиры 47,1 м², 4/13 этаж",Москва,СЗАО,3,27,9,10.8,47.1,26705700
"Продажа 3-комнатной квартиры 118,5 м², 3/13 этаж",Москва,ЦАО,3,9,7,0.0,118.5,44900000
"Продажа квартиры-студии 28 м², 8/49 этаж",Москва,СВАО,3,25,15,5.8,28.0,12450000
"Продажа 2-комнатной квартиры 47,3 м², 12/14 этаж",Москва,ЗАО,3,26,19,11.3,47.3,11900000
"Продажа 3-комнатной квартиры 89,5 м², 6/17 этаж",Москва,ЮАО,3,37,29,7.1,89.5,31114288
"Продажа 1-комнатной квартиры 47,9 м², 1/22 этаж",Москва,СВАО,3,18,7,15.6,47.9,12350000
"Продажа 1-комнатной квартиры 35 м², 9/24 этаж",Москва,СЗАО,3,30,13,13.9,35.0,11867800
"Продажа 1-комнатной квартиры 40 м², 1/3 этаж",Москва,Новая Москва,2,85,75,254.0,40.0,6071040
"Продажа 3-комнатной квартиры 70,6 м², 1/29 этаж",Москва,ЮЗАО,3,17,14,11.2,70.6,21067040
"Продажа 1-комнатной квартиры 52,3 м², 13/25 этаж",Москва,ЮАО,3,24,13,12.6,52.3,14200000
"Продажа 2-комнатной квартиры 51,7 м², 4/32 этаж",Москва,ВАО,3,28,16,8.2,51.7,19700000
"Продажа 4-комнатной квартиры 110,3 м², 4/8 этаж",Москва,ЮАО,3,24,18,10.1,110.3,25400000
"Продажа 2-комнатной квартиры 70,6 м², 12/36 этаж",Москва,СВАО,3,24,15,10.3,70.6,18532500
"Продажа 2-комнатной квартиры 66,3 м², 16/25 этаж",Москва,САО,3,18,8,5.7,66.3,23900000
"Продажа 2-комнатной квартиры 48,8 м², 11/33 этаж",Москва,ЮАО,3,26,20,8.7,48.8,13042288
"Продажа 2-комнатной квартиры 83,1 м², 2/15 этаж",Москва,ЮАО,3,28,20,6.1,83.1,28690275
"Продажа 3-комнатной квартиры 79,9 м², 29/40 этаж",Москва,ЮЗАО,3,15,10,10.8,79.9,43500000
"Продажа 3-комнатной квартиры 133 м², 25/25 этаж",Москва,ЗАО,3,19,8,11.2,133.0,45000000
"Продажа 1-комнатной квартиры 33 м², 7/9 этаж",Москва,ЮАО,3,27,20,18.3,33.0,8700000
"Продажа 2-комнатной квартиры 52 м², 20/30 этаж",Москва,ЗАО,3,29,4,11.5,52.0,18500000
